GEOID,ev_score
48201323701,42.39980093575247
48201241103,36.153448648418106
48201450801,46.07327501428624
48201454302,34.392549675957966
48201451902,40.268967046601155
48201453403,42.91547035305544
48201453601,41.31945376438995
48201453501,42.811382311995544
48201453502,41.51563186947406
48201553401,30.88925044362345
48201553801,25.498727546830757
48201553403,27.723957699124846
48201454502,31.647318019763215
48201455102,26.25635630859785
48201511302,40.28834627850633
48201520601,41.747431106020215
48201554001,25.647154752691108
48201212300,39.96132029003261
48201212400,34.17400737746747
48201250701,42.80376154573827
48201250702,38.440991422751424
48201251503,34.119651917748534
48201251402,35.363210102279304
48201251902,27.06788435550291
48201511001,40.65262553640173
48201522302,47.5081932684832
48201522202,47.42170017925271
48201522301,46.23944170421519
48201522201,46.67097636921558
48201532502,36.24212086821346
48201522500,43.25970524460668
48201314001,45.24388851800792
48201320602,49.03600381846274
48201321401,46.900043874899325
48201323702,42.337317181639726
48201340203,33.44304657411292
48201342002,39.536646389875806
48201534001,32.91656947587836
48201533902,30.973967459162754
48201550603,34.06199439552894
48201550601,35.37558681470858
48201331602,41.73204901141545
48201552602,26.358954015956016
48201320601,48.213950058627624
48201350601,39.82231772369683
48201431401,43.48782717228694
48201540502,40.10667874838351
48201511301,40.74112714654004
48201223001,47.795018027702504
48201330303,46.5292798054525
48201334003,48.51942186635202
48201343301,28.70571617871653
48201341501,26.25598464905042
48201341502,25.363871158409435
48201340302,34.86141666571353
48201551702,36.23834009577498
48201540602,37.29263823334656
48201330301,43.848615772035764
48201334001,47.48469998271306
48201533702,38.022363457859
48201554501,19.35577775609595
48201222402,43.32982123995416
48201251501,29.647329743340478
48201222501,41.90130525765683
48201222401,42.18218035856595
48201341302,33.00883237329199
48201350801,37.23129871537147
48201341201,31.790884402189906
48201540601,38.524775510092
48201541203,34.54905685886261
48201233701,41.239836042778805
48201233703,39.52311423762825
48201222502,43.92497597505808
48201533802,34.76671341554113
48201410401,46.85272798847201
48201431801,44.74395477619633
48201422702,42.09929522726985
48201422701,41.923592094518845
48201553002,30.306929654698187
48201553001,29.20803989406375
48201333905,47.9839513580549
48201454505,34.29002508345832
48201232304,36.51036501617838
48201311702,44.0774077803558
48201221502,38.761690563253715
48201521502,43.40742099244517
48201551602,32.44610866281548
48201250202,47.84121507053876
48201241202,33.956725353865494
48201550902,31.767352666377015
48201550404,35.22574201738726
48201313201,41.37625315029131
48201411302,56.68858049815639
48201510803,45.71614243511524
48201552004,34.76467756593909
48201551902,36.09534532425451
48201250101,47.77437755249066
48201553602,28.466050896426292
48201454303,35.892433886361516
48201556100,23.033525464422354
48201554806,14.877223493642166
48201554803,14.89309279117441
48201554702,22.29131249570204
48201553102,31.903430658944743
48201980400,41.0358717899354
48201980200,40.275498115018664
48201432804,41.24134528385277
48201453202,43.64976636930765
