GEOID,ev_score
53033005901,52.28346806214182
53033005304,46.67265690787672
53033032221,28.62395898694717
53033032223,32.14422810705504
53033024904,38.65351422128894
53033030407,24.76681961732297
53033024704,40.598852185531285
53033030102,27.87623797943609
53033025103,36.43707594293589
53033025303,37.81055978895535
53033025402,37.3510242267091
53033030203,26.31431357160267
53033024905,38.51186536419405
53033032220,31.786065686066255
53033032605,24.780064159875188
53033029805,27.73570785388153
53033027902,38.57194775701666
53033005401,47.64150183525634
53033029505,29.96543404203101
53033010102,45.22345147536272
53033021701,36.17910671189218
53033022204,38.95310516707536
53033008003,49.41006930706678
53033029508,29.161824222310507
53033025008,37.47502945230964
53033000602,41.741222095173555
53033031913,33.67824597144625
53033007001,54.13010069421453
53033030101,27.55859273613359
53033029603,28.18625846676174
53033024703,39.56833811730545
53033026003,38.06454413056659
53033004102,44.32717720672213
53033030008,28.65495015317854
53033010302,45.079216774755665
53033009802,46.035345477530534
53033032332,33.0615185146338
53033003601,45.321015604177326
53033010101,56.90436131223477
53033004703,95.79378121566637
53033022805,40.14685513349502
53033005303,90.98274538606984
53033007301,55.1315541115689
53033008401,55.55555555555556
53033031708,27.354801917617085
53033032222,31.34686778058771
53033031710,26.0141713586542
53033011802,41.52285917884328
53033007002,48.8227567778447
53033000601,41.8585610023011
53033032705,18.674927737658194
53033024001,42.94138699782124
53033004701,45.36356317365743
53033023806,42.719928647303824
53033032333,31.92647992403044
53033031603,19.356223780652197
53033021702,37.02536793439415
53033032330,37.864146962897635
53033031911,32.09163195792989
53033031207,25.310422659000608
53033025202,38.29470432622748
53033031707,28.43792279120647
53033003800,44.454571701258715
53033021500,37.38428960632362
53033032704,17.098739568524874
53033026200,36.8930990119533
53033032703,20.329282442827108
53033032319,34.432557557967556
53033032313,36.04338643403364
53033032103,33.30866616607139
53033026802,41.12910285409595
53033023202,39.00936085559821
53033025500,37.13146974820751
53033002500,44.25997911073994
53033032321,35.98324342566499
53033021000,39.850614872457825
53033032007,26.672683705267016
53033031501,15.178777652998113
53033032006,24.31052911299007
53033032311,30.223846696395494
53033000900,41.81653722094929
53033029403,31.874203717747164
53033032601,23.729947826962803
53033028300,35.076225443968326
53033008600,49.4967708469176
53033031202,17.175653573714445
53033032604,23.881554862357376
53033025007,36.7913334724929
53033032216,34.42082436002313
53033008402,49.82398377141421
53033030405,23.654634814844712
53033005306,46.113262432651084
53033032331,37.66907474183668
53033005902,47.29369963872279
53033007201,49.62200879419575
53033005202,46.66633490288936
53033003602,50.41038085661588
53033022205,39.80997635160387
53033032224,32.970171380977526
53033020301,37.13460340514477
53033005201,46.566374596808515
53033023901,43.510263530338904
53033007302,60.94953870074353
53033032218,33.60731405940547
53033025201,38.641369751997715
53033032706,3.1774763154076298
53033011801,47.91381658807879
53033032225,32.91876946529749
53033007203,49.62790193684188
53033011901,40.74026080255583
53033022501,40.47981052375128
53033029507,28.181378016605624
53033032603,23.74582693436195
53033029309,34.16512953011315
53033025304,39.836735168895956
53033001201,59.26616975547681
53033010601,44.57593638523068
53033024301,44.435948015812656
53033024002,43.80323143553219
53033022804,39.966457767375104
53033022502,41.60496409567415
53033023805,43.23823535848199
53033010602,44.34716271204624
53033011902,40.4939520260221
53033000102,51.74715636471082
53033031101,22.799754766881
53033000201,41.01310052208939
53033006701,48.886018043356664
53033003201,49.60644138975571
53033010301,44.551400734788466
53033003301,44.66879992045549
53033005402,47.08987810223951
53033004201,44.64144761478812
53033005307,45.99955840849498
53033030204,27.05746582092306
53033030007,29.05034233451081
53033000101,40.44535387328778
53033006702,49.20250239892906
53033007202,49.826314797745006
53033007501,49.31187344793323
53033007502,49.63817939174455
53033008004,49.00809975231379
53033007303,49.74148287220241
53033001202,48.248983402988
53033004401,45.40886797370971
53033004402,45.726178029079044
53033029506,28.940243126109706
53033029701,29.914848465395057
53033029803,29.88936560874577
53033026101,38.995821473439754
53033031208,25.134259822153204
53033029604,27.35526841609105
53033031102,22.145774917202875
53033003202,44.361926297265
53033029806,28.56984660208762
53033032217,36.14880623979678
53033003302,44.917685521224506
53033010502,45.14950819655673
53033010501,45.470226955863765
53033000202,40.82969111450629
53033029702,28.650267413281007
53033020302,37.736780340649695
53033031912,33.95182291518563
53033023902,41.93181898631871
53033029308,33.8243532633928
53033024302,45.46817722595644
53033025401,37.598039497281924
53033022001,37.10357071241216
53033022003,38.42241484312062
53033022203,40.54184316135678
53033022005,39.16511200332085
53033009600,46.995163685442876
53033009701,45.213158111705695
53033009702,45.80567154824324
53033009900,47.26092747808715
53033023000,37.57461927553617
53033023401,39.89248457447501
53033010200,44.00081233859174
53033010800,50.80783385015009
53033010900,55.67912788781581
53033022902,37.308130668971714
53033022300,40.872736534246116
53033022603,39.25152084880989
53033022604,40.19777327109554
53033022605,38.638055671210914
53033022606,39.50700948253048
