GEOID,transit_score
53033005901,78.91865949858096
53033005304,86.29341938995411
53033032221,67.96117646634276
53033032223,62.55944910298625
53033024904,97.38946564891873
53033030407,56.89424750637313
53033024704,91.40166646172825
53033030102,63.53243585129403
53033025103,89.36779993630525
53033025303,91.29408449815313
53033025402,88.41613497983052
53033030203,59.96336502633265
53033024905,83.21208500630532
53033032220,71.84370700058663
53033032605,53.141273641855015
53033029805,65.62040490416983
53033027902,80.3352735612258
53033005401,77.13387649263235
53033029505,62.268509140530924
53033010102,94.55672064684431
53033021701,60.67473196333922
53033022204,66.84906138264859
53033008003,93.0153380420502
53033029508,75.75665070190409
53033025008,64.02053804923312
53033000602,52.62863693710756
53033031913,78.75355762455354
53033007001,76.79194375783766
53033030101,58.77618542520932
53033029603,66.59528181742898
53033024703,100.0
53033026003,78.54105793234193
53033004102,77.16189280520457
53033030008,78.05785610681122
53033010302,100.0
53033009802,87.4968149411099
53033032332,62.7525889033338
53033003601,62.71471705150618
53033010101,95.39037130833815
53033004703,75.11617199693103
53033022805,71.19864901733693
53033005303,75.42047665310866
53033007301,83.17082740232394
53033008401,78.22778580836751
53033031708,63.28520057232071
53033032222,71.55736580530966
53033031710,61.9966527078421
53033011802,90.28719491133651
53033007002,85.45054165351138
53033000601,75.92802411046864
53033032705,47.00027587866924
53033024001,79.70454136735651
53033004701,78.89155472377463
53033023806,84.21634061740633
53033032333,71.21991226981947
53033031603,38.680919587534966
53033021702,70.24142544848223
53033032330,72.92896209601294
53033031911,66.41315323459861
53033031207,56.07174564722716
53033025202,91.13695427701884
53033031707,68.91512974758724
53033003800,68.81073553703929
53033021500,52.53190018259214
53033032704,41.706401059096734
53033026200,80.16998922472206
53033032703,48.9713645394997
53033032319,67.24720813762964
53033032313,59.58074605887023
53033032103,79.28674370427642
53033026802,93.65777670435335
53033023202,80.8792675506566
53033025500,81.49699293195269
53033002500,81.5945133796904
53033032321,69.643295771773
53033021000,71.06557412980622
53033032007,61.234406541476055
53033031501,26.03131610157868
53033032006,57.2970489653358
53033032311,52.49827798039615
53033000900,78.51072263389104
53033029403,75.23988641980708
53033032601,39.5314647491125
53033028300,68.2977003425171
53033008600,94.10164206815388
53033031202,46.44934201694366
53033032604,50.214919160808236
53033025007,84.91034416142526
53033032216,79.12786048483278
53033008402,88.88615213551057
53033030405,58.46867894517805
53033005306,80.65143333265887
53033032331,74.13125836532998
53033005902,75.20376113553979
53033007201,91.34568692065537
53033005202,61.15867409398176
53033003602,74.14733921839823
53033022205,71.84436461039657
53033032224,61.63678253433931
53033020301,60.439593240331234
53033005201,73.37454888916118
53033023901,99.88897748765561
53033007302,83.16828299710355
53033032218,81.40033033851836
53033025201,100.0
53033032706,11.522967521395438
53033011801,88.19825185862338
53033032225,59.822610695175854
53033007203,96.5691873808321
53033011901,90.63899489731902
53033022501,70.81417416892867
53033029507,66.4865908953358
53033032603,52.55735360138363
53033029309,85.86601876554857
53033025304,94.22233271546142
