GEOID,walk_raw,walk_score
17031010100,13.233424080743612,65.53620042085217
17031010201,15.233551583009355,76.25116918107668
17031010202,15.89323470061838,79.78518588192254
17031010300,14.382643463030456,71.69273282486088
17031010400,14.603473025405359,72.87574833737231
17031010501,13.705633381607498,68.06589310359983
17031010502,14.335977956992892,71.44273904256141
17031010503,15.91689168107405,79.91191970576956
17031010600,14.493269508076338,72.28537235178656
17031010701,12.860263318629418,63.537124909883104
17031010702,15.063605640980816,75.34074449180066
17031020100,14.107006930637462,70.2161085444478
17031020200,16.203266768288376,81.4460719584295
17031020301,14.575690486224172,72.72691330607111
17031020302,15.727526277875215,78.8974621888141
17031020400,13.606845509900475,67.5366723624067
17031020500,13.671181567097824,67.88132981161667
17031020601,14.972910888339845,74.8548797455965
17031020602,13.372134900797608,66.27929409958017
17031020701,16.565792340756456,83.38817323916169
17031020702,14.789964823428553,73.8748115408896
17031020801,14.537631288902931,72.52302474902945
17031020802,14.494898121676188,72.29409706749848
17031020901,13.229367078922483,65.51446648252856
17031020902,14.58088421533989,72.75473685490034
17031030101,14.151522319195234,70.45458384025042
17031030102,10.964063881590167,53.37891364184394
17031030103,13.762204191499851,68.36895101368331
17031030104,10.237654041283719,49.487432355182875
17031030200,15.99841693253694,80.34866212424278
17031030300,14.828098416325215,74.07909864565666
17031030400,16.46506911172858,82.84858451232301
17031030500,15.410398191571652,77.19856172677696
17031030601,12.391590068788904,61.02637535761441
17031030603,10.581791379355916,51.3310252373833
17031030604,12.236421332870554,60.19511427248598
17031030701,12.66666667,62.500000006696425
17031030702,11.125378318644412,54.243098125908794
17031030703,14.329374804825612,71.40736501310018
17031030706,16.971206350091016,85.56003400306615
17031030800,15.128747011014894,75.68971611692092
17031030900,17.37104498605894,87.70202669536896
17031031000,15.135926249648287,75.72817632387864
17031031100,15.391146458454939,77.09542744224156
17031031200,14.907956401951656,74.50690928286477
17031031300,15.11327029033287,75.60680511328202
17031031400,14.051539018187857,69.91895901352085
17031031501,12.616023901474643,62.22869946107331
17031031502,13.310173814553469,65.94735970904584
17031031700,14.631678401587926,73.02684856689481
17031031800,17.0,85.71428569897958
17031031900,14.29611878046503,71.22920773977172
17031032100,14.545111988417014,72.5630999249906
17031040100,16.4622126591615,82.83328208785925
17031040201,14.994919507605946,74.97278306307243
17031040202,15.181532619699246,75.97249616339371
17031040300,14.953440840493256,74.75057591786555
17031040401,15.532596988342558,77.85319813793276
17031040402,14.881833615131232,74.36696578206606
17031040600,16.780161056179345,84.53657707157925
17031040700,14.682902666053742,73.30126426934125
17031040800,15.935342888688037,80.01076546082683
17031040900,15.662804596111153,78.5507388937114
17031050100,18.095608124138135,91.58361493438578
17031050200,17.616203638585638,89.0153766193846
17031050300,15.709412440037537,78.80042377184387
17031050500,15.698392504861468,78.74138840483975
17031050600,16.497085052286984,83.02009847956954
17031050700,15.666666670000001,78.57142857525511
17031050800,16.0,80.35714284279337
17031050900,15.833333330000002,79.46428568223853
17031051000,17.83333333,90.17857139461096
17031051100,17.66666667,89.28571428762754
17031051200,16.503634955135155,83.05518724482133
