GEOID,bike_km,bike_density,bike_score
53033005901,2.967012643987061,3.078427569243578,13.741674853282444
53033005304,1.2415010118486645,16.999830535654613,75.88489205197347
53033032221,0.0,0.0,0.0
53033032223,0.0,0.0,0.0
53033024904,0.0,0.0,0.0
53033030407,0.0,0.0,0.0
53033024704,0.0,0.0,0.0
53033030102,0.0,0.0,0.0
53033025103,0.0,0.0,0.0
53033025303,0.0,0.0,0.0
53033025402,0.0,0.0,0.0
53033030203,0.0,0.0,0.0
53033024905,0.0,0.0,0.0
53033032220,0.0,0.0,0.0
53033032605,0.0,0.0,0.0
53033029805,0.0,0.0,0.0
53033027902,0.0,0.0,0.0
53033005401,6.7116485924874505,4.875804716852963,21.76491782249655
53033029505,0.0,0.0,0.0
53033010102,8.41368348961834,2.2180418678643234,9.901032093033182
53033021701,0.0,0.0,0.0
53033022204,0.0,0.0,0.0
53033008003,2.7382411050249518,13.888917745867618,61.998207667622374
53033029508,0.0,0.0,0.0
53033025008,0.0,0.0,0.0
53033000602,7.984075381159655,3.31182932268883,14.783547995946227
53033031913,0.0,0.0,0.0
53033007001,0.323980547854345,0.9042713118922058,4.03654205521138
53033030101,0.0,0.0,0.0
53033029603,0.0,0.0,0.0
53033024703,0.0,0.0,0.0
53033026003,0.0,0.0,0.0
53033004102,2.0472219833942322,0.5507496648784298,2.458470322942596
53033030008,0.0,0.0,0.0
53033010302,2.509908152795509,3.970325839699003,17.72298536299015
53033009802,2.1515907784146187,2.3327977384336154,10.413286425934718
53033032332,0.0,0.0,0.0
53033003601,2.7798228833326513,4.123546680650163,18.40694200310519
53033010101,3.1182385705055906,3.5775101640217537,15.9695105220162
53033004703,4.98080270074054,3.7375086551249344,16.683721654908297
53033022805,0.0,0.0,0.0
53033005303,13.291984576814269,4.177207646533364,18.646477132288435
53033007301,1.3994381914817666,5.580148847230172,24.90901259385407
53033008401,2.449877556743371,9.763576390836855,43.58325448632605
53033031708,0.0,0.0,0.0
53033032222,0.0,0.0,0.0
53033031710,0.0,0.0,0.0
53033011802,6.523580331936671,2.9959799620159933,13.373640138978281
53033007002,0.9609874836508735,2.1790131384662983,9.726813243552115
53033000601,5.405068094906803,3.7764177120977274,16.857406303236512
53033032705,0.0,0.0,0.0
53033024001,0.0,0.0,0.0
53033004701,2.315785457267723,3.09467212372898,13.814188297517765
53033023806,0.0,0.0,0.0
53033032333,0.0,0.0,0.0
53033031603,0.0,0.0,0.0
53033021702,0.0,0.0,0.0
53033032330,0.0,0.0,0.0
53033031911,0.0,0.0,0.0
53033031207,0.0,0.0,0.0
53033025202,0.0,0.0,0.0
53033031707,0.0,0.0,0.0
53033003800,1.7792131564584692,2.848535947481928,12.715470452924038
53033021500,0.0,0.0,0.0
53033032704,0.0,0.0,0.0
53033026200,0.0,0.0,0.0
53033032703,0.0,0.0,0.0
53033032319,0.0,0.0,0.0
53033032313,0.0,0.0,0.0
53033032103,0.0,0.0,0.0
53033026802,0.0,0.0,0.0
53033023202,0.0,0.0,0.0
53033025500,0.0,0.0,0.0
53033002500,3.5753939736327225,3.632292495337718,16.214051271381223
53033032321,0.0,0.0,0.0
53033021000,0.0,0.0,0.0
53033032007,0.0,0.0,0.0
53033031501,0.0,0.0,0.0
53033032006,0.0,0.0,0.0
53033032311,0.0,0.0,0.0
53033000900,5.372331812927071,1.88245835555679,8.40303371284529
53033029403,0.0,0.0,0.0
53033032601,0.0,0.0,0.0
