GEOID,transit_score
48201323701,49.66885514971358
48201241103,53.51126059354688
48201450801,74.05882598813255
48201454302,40.02844944516726
48201451902,70.54314633826749
48201453403,62.69634487830899
48201453601,55.59942234113506
48201453501,62.29039228715768
48201453502,60.37416717371139
48201553401,50.95056955488622
48201553801,46.40941835051665
48201553403,49.02970740104413
48201454502,38.04797593868375
48201455102,33.30347370742751
48201511302,92.1386301268634
48201520601,90.96861219420319
48201554001,51.56954195898067
48201212300,85.48921197894923
48201212400,69.40861599201297
48201250701,40.28101507483726
48201250702,38.31325066917445
48201251503,25.491378847929322
48201251402,39.86845825750614
48201251902,44.4658092938748
48201511001,74.40360741780938
48201522302,63.088441696563535
48201522202,76.91554656962842
48201522301,76.9031786677287
48201522201,80.82282670764441
48201532502,78.20276621244123
48201522500,100.0
48201314001,69.90861019735671
48201320602,58.29626708352643
48201321401,71.41760246876328
48201323702,50.22692743555285
48201340203,34.26259625943763
48201342002,36.53777188430824
48201534001,61.241208914012866
48201533902,69.83599436889872
48201550603,66.15578606239708
48201550601,56.07120228020772
48201331602,54.915165798802995
48201552602,52.12857090728873
48201320601,55.13020858060433
48201350601,30.584272520000432
48201431401,84.51661670837409
48201540502,60.01403280439799
48201511301,94.15113599046505
48201223001,74.87755843373047
48201330303,68.18480209658895
48201334003,49.18632989457199
48201343301,24.095677523234755
48201341501,21.87763226511386
48201341502,9.419633768130936
48201340302,36.286335138060686
48201551702,57.46289836142039
48201540602,64.71833448869081
48201330301,64.35858729924696
48201334001,37.719844287249046
48201533702,72.13936944073116
48201554501,36.70134077522239
48201222402,78.52564767062314
48201251501,12.698948811471563
48201222501,63.934240166903265
48201222401,79.96735744191939
48201341302,18.891883528768098
48201350801,28.535935351103284
48201341201,25.296830018369036
48201540601,45.330454263903164
48201541203,55.59654805713292
48201233701,75.94598293544357
48201233703,59.931741910794294
48201222502,66.76529837279077
48201533802,77.51574624340289
48201410401,91.50383357166503
48201431801,92.43102123899816
48201422702,70.63938148786373
48201422701,62.32062519749195
48201553002,52.890123393853294
48201553001,51.3200177873079
48201333905,58.320841916053645
48201454505,48.9256439957832
48201232304,48.970366587011696
48201311702,60.65484293291699
48201221502,92.6911767407728
48201521502,86.79421604073183
48201551602,54.99701660894971
48201250202,59.160947938977344
48201241202,50.362724057465556
48201550902,67.25865858047138
48201550404,70.37946328969855
48201313201,79.3142058746493
48201411302,86.48866245244324
48201510803,90.62256610204912
48201552004,68.53850996540751
48201551902,43.896245606824536
48201250101,56.04462531205107
48201553602,50.45377414618679
48201454303,42.15942043216538
48201556100,50.19256708370524
48201554806,29.879229879046854
48201554803,38.37414790778122
48201554702,44.07752946213925
48201553102,59.07422896049149
48201980400,89.08563255984204
48201980200,89.58398914089072
48201432804,69.8178155928647
48201453202,51.27774256194017
48201333100,77.727776816304
48201350300,41.32966365478439
48201350400,37.06151235749781
48201350500,39.79282965398887
48201420300,71.14851653203078
48201420500,74.11035352232165
48201980000,59.15559388984903
48201333600,63.76820731288579
48201333700,53.06658382875953
48201410300,95.02268412709552
48201410900,77.88823624482394
48201420600,75.04317386169966
48201420700,84.14893841695168
48201420900,64.69492322085374
48201411100,70.5481327837064
48201411200,95.51551178137565
48201411400,100.0
48201421000,72.36220543351877
48201432200,65.49191464523906
48201521800,77.60505091779659
48201521900,68.0188103285614
48201530300,89.73150637676925
48201455000,33.91392590614786
48201530400,96.7018786786806
48201455200,32.75938917837411
48201455300,33.51114180096017
48201530800,87.43325295906766
48201531500,80.23364162056316
48201531600,87.27517096979317
48201531700,84.3665524869831
48201531800,88.42215114268362
48201531900,78.2262931699489
48201510100,81.22559683508939
48201510400,100.0
48201510500,95.99655344953152
48201532600,76.54782110192947
48201530900,96.66365504762997
48201531100,90.49799370597067
48201531300,88.74293930727204
48201531400,92.04475061451478
48201532400,80.65298189224326
48201452900,52.337029084582795
48201453100,72.47343134038698
48201530600,88.44711416930356
48201453300,52.53328535995913
48201511600,85.67717404593382
48201520100,89.4656479222534
48201453800,68.92908761203326
48201454000,42.661571154836565
48201520200,90.81309071750535
48201520700,68.8572568086451
48201454100,52.45980301066737
48201454200,56.98834308680537
48201521000,80.16375793942666
48201521100,76.64811657691578
48201521300,84.23457535423836
48201521600,83.1551930252406
48201454600,46.75736345688003
48201454700,58.73706990338724
48201550500,69.00760209598984
48201550700,61.80828407273414
48201550800,65.39771538081504
48201540800,60.202100480123796
48201541100,52.91413469233741
48201551000,61.33787262998699
48201421302,77.27002321611421
48201421204,66.07888969143735
48201421801,79.19825071155451
48201541205,46.24726433873893
48201421301,67.28827259906703
48201421206,84.30085215795948
48201423203,74.90290510181416
48201421502,82.86896349347784
48201432101,78.75363477900598
48201451501,54.29155288960569
48201432006,100.0
48201521202,89.59534828603394
48201552303,44.69744147153938
48201550306,53.076287837273455
48201555504,39.392300137969556
48201543009,32.38767342846561
48201555304,28.348341687559266
48201452102,64.16693195767935
48201333301,61.93680890955684
48201320901,62.6237338795656
48201530102,71.65186612740496
48201410601,87.16515904282853
48201511201,87.0602600038105
48201421103,88.76459541785933
48201410706,87.27109976370491
48201241501,59.166204160684735
48201553901,37.57488355779691
48201240704,69.45664094058809
48201551300,80.1020809345336
48201541008,39.06465580911403
48201253601,24.345989465944555
48201253102,10.012159026370735
48201530501,90.48156233104886
48201553404,37.019457401154526
48201530502,100.0
48201313102,73.68758712387287
48201312602,81.38185829582123
48201312502,89.19395618920367
48201410703,82.39046896584318
48201410802,86.08410439980184
48201410501,84.48719341918367
48201411003,85.87600657689849
48201411002,78.81601261853312
48201411503,83.38719061817434
48201411001,86.43965870487725
48201411801,82.08784100530657
48201553405,46.22834890933994
48201341101,21.126421866989254
48201350603,34.00746286498118
48201433006,68.45533270367143
48201431203,78.69677779787015
48201431403,79.13709823739775
48201431404,79.80478027910112
48201451406,52.59194878910705
48201431206,82.95427213337553
48201432903,62.40401218321796
