GEOID,walk_raw,walk_score
53033000101,15.63491768236284,78.40133343477562
53033000102,11.380474253911046,55.60966031387695
53033000201,12.149653951583302,59.730267988041575
53033000202,14.533949950522658,72.50328893547668
53033000300,14.737104164439891,73.59161564955869
53033000402,15.599368317625759,78.21089030998878
53033000403,14.425959130818642,71.9247663850787
53033000404,16.33333333,82.1428477858689
53033000500,11.189394354859733,54.5860174631982
53033000601,12.979824006876676,64.17760989144311
53033000602,16.786759465534818,84.57191763704391
53033000700,15.403711890202462,77.16273033023384
53033000800,12.21083752938351,60.05803732592106
53033000900,12.865597645847064,63.56568263793535
53033001000,13.926044925406345,69.24665317241879
53033001100,15.41227355042119,77.20859639106156
53033001201,16.37235304245864,82.3518820688685
53033001202,17.34901951718077,87.5840266288698
53033001300,17.309575746274874,87.37272060300262
53033001400,15.049203206631198,75.26357567690316
53033001500,13.60660893663256,67.53538805357984
53033001600,14.832661119696594,74.1035281770762
53033001701,17.34799361386564,87.57853071538419
53033001702,15.557399561760269,77.98605757192013
53033001800,14.669483942692132,73.22936427253227
53033001900,16.258741978447688,81.74325105110988
53033002000,14.905628497083285,74.49442504569244
53033002100,15.359659446827742,76.92673497468179
53033002200,12.762474165303928,63.013235132367306
53033002400,16.85006396229972,84.9110490467366
53033002500,17.641101574956608,89.14875275515625
53033002600,16.631177261631642,83.73844110963816
53033002700,16.328915633483142,82.11918154217503
53033002800,15.916867048952023,79.911777258513
53033002900,16.464775739991612,82.84700392124434
53033003000,16.147468572641547,81.14714320884259
53033003100,14.961803772162579,74.79536417641906
53033003201,17.35020873370712,87.59039743501502
53033003202,15.733256449702106,78.92814853480019
53033003301,15.813298348590196,79.3569446455284
53033003302,15.3721693032722,76.99375209775945
53033003400,15.166655096603643,75.89278255876735
53033003500,16.901789393803362,85.18814971729304
53033003601,18.046145135830677,91.31863010678109
53033003602,19.00551767670437,96.45812854423384
53033003800,15.181657207639319,75.97315105269583
53033003900,14.863493296464378,74.26870063883646
53033004000,15.893560939416801,79.7869230351158
53033004101,12.11416363374282,59.540141186080206
53033004102,12.055771464120465,59.22732582838792
53033004201,13.62295454832424,67.62295387620813
53033004202,16.88323259821547,85.08873826046602
53033004301,16.607111556016523,83.60951761940312
53033004302,15.5140399050197,77.75377357527405
53033004401,16.523672534752443,83.16252262930387
53033004402,17.958323223051593,90.84815532845236
53033004500,16.016233867030046,80.4440997760843
53033004600,16.114761572918123,80.9719270474344
53033004701,19.66666666999995,99.99999999999973
53033004702,18.16666667,91.96428151971244
53033004703,18.190148624692224,92.09007777122817
53033004800,16.637567914789074,83.77267676942368
53033004901,17.142731378192572,86.47891102171539
53033004902,17.913683785263768,90.60901535833152
53033005000,18.764652113793844,95.16777664080387
53033005100,16.652544848982895,83.85291038734324
53033005201,18.358477950774017,92.99184248880803
53033005202,15.50730654521407,77.71770198605769
53033005303,17.16108120056589,86.57721369288555
53033005304,18.66666667,94.64285434647496
53033005305,16.934758630484062,85.36477072027708
53033005306,18.16666667,91.96428151971244
53033005307,15.66666667,78.57141738589985
53033005401,18.73107765466025,94.98791337298688
53033005402,16.07365158721658,80.75169486621691
53033005600,15.058730515863493,75.31461486014675
53033005700,15.358055727869301,76.91814361863412
53033005801,16.475040253523183,82.90199241529554
53033005803,14.701688001473022,73.40188610605618
53033005804,15.593364732048201,78.17872822760641
53033005901,15.614335513189557,78.29107175664886
53033005902,15.866549855210588,79.6422207227635
53033006000,17.08289471460739,86.1583572994686
53033006100,18.070210205729335,91.44755019139046
53033006200,15.895094786110608,79.79514007526471
53033006300,16.356156872330327,82.26511682646188
53033006400,15.80722627409431,79.32441565803488
