variable,r,p_value,ci_low,ci_high,n,method
median_income,-0.2547621241602306,8.719318268049643e-18,-0.3091641247598153,-0.1986982163433314,1102,spearman
pct_nonwhite,0.12375797443654499,3.5005359901553595e-05,0.06544712924834656,0.18122648318812787,1112,spearman
pct_no_vehicle,0.4050920363736301,4.023040858238856e-45,0.3547299716486708,0.4531102054661738,1111,spearman
pct_renter,0.5499715059251026,7.838372153112344e-89,0.5075759610294245,0.5897103542443434,1111,spearman
