city,n_tracts,mean,std,min,q25,median,q75,max,iqr,pct_mobility_desert,pct_compounded_desert,demographics_real
Chicago,1332,37.50397513941103,13.28452464878961,5.377968389071754,25.73683889845264,41.61589959026038,47.099900922893404,70.65345268786645,21.363062024440765,25.0,15.615615615615615,True
Houston,1115,31.71837450434214,14.982001580723422,2.709839599849223,17.098465214001223,34.52448663878266,43.676110924521936,81.35149298002746,26.577645710520713,25.02242152466368,12.73542600896861,True
Seattle,495,36.19320598597865,14.141135538142764,2.0136065687939646,26.517720455659607,35.613063254616016,45.38467962319738,82.61824979038731,18.86695916753777,25.050505050505052,23.434343434343436,True
