transit_norm,walk_norm,bike_norm,ev_norm,cluster,label,n_tracts
39.9,69.3,3.4,76.4,0,"Ev-rich, bike-poor",272
6.8,40.0,0.0,63.2,1,Uniformly under-served,142
58.8,86.7,33.0,81.7,2,Well-served / multimodal,81
