variable,r,p_value,ci_low,ci_high,n
median_income,-0.6789278006364474,1.1087142886595773e-180,-0.7068626930153421,-0.6488784403496682,1332
pct_nonwhite,0.5614478750540455,1.697502125270653e-111,0.5235238550707306,0.5971515618118971,1332
pct_no_vehicle,0.6488282854224494,5.2420603663169726e-160,0.6166051807072016,0.6788811020943762,1332
pct_renter,0.6200538759026655,2.507346282543865e-142,0.585853647047331,0.6520495151788341,1332
