city,I,expected_I,z_score,p_value,n
Chicago,0.9157337089587818,-0.0007513148009015778,60.86869756885806,0.001,1332
Houston,0.8344670429474899,-0.0008976660682226212,48.16999596049274,0.001,1115
Seattle,0.8202156349953985,-0.0020242914979757085,30.976017091488302,0.001,495
