percentile,n_deserts,pct_of_tracts,jaccard_vs_baseline,mean_median_income,mean_pct_nonwhite
0.2,267,20.045045045045047,0.8018018018018018,82869.97477087828,43.1612878908494
0.25,333,25.0,1.0,80508.23513594091,45.606492495755134
0.3,400,30.03003003003003,0.8325,77426.0231916434,47.810848969954485
