variable,r,p_value,ci_low,ci_high,n,method
median_income,-0.22487310953095346,4.4130910125403825e-07,-0.3070045044412993,-0.1394169875742992,494,spearman
pct_nonwhite,0.04669913197723596,0.3002600574000799,-0.04169462617521597,0.13436753341161584,494,spearman
pct_no_vehicle,0.6617439989465099,1.538488917290543e-63,0.6090803522079711,0.708597781686532,494,spearman
pct_renter,0.6661614128817003,1.1573091171218837e-64,0.6140257756050433,0.7125091730668361,494,spearman
