GEOID,median_income,total_population,pct_nonwhite,pct_no_vehicle,pct_renter
17031010100,69460.0,3726,65.1905528717123,37.44292237442922,68.53881278538813
17031010201,49639.0,7588,81.47074327886136,31.007241606319948,72.90980908492429
17031010202,55119.0,2609,62.93599080107322,31.150442477876105,76.10619469026548
17031010300,65871.0,6311,50.97448898748218,41.63265306122449,73.02982731554161
17031010400,49017.0,4282,25.899112564222328,47.61904761904761,75.0728862973761
17031010501,48250.0,3519,36.99914748508098,53.29970575872215,85.66624632198403
17031010502,61367.0,3329,36.64764193451487,38.54612095296274,71.35003054367746
17031010503,21924.0,2844,37.130801687763714,55.51794177386594,88.01624915368991
17031010600,71920.0,6708,45.76624925462135,37.508153946510106,64.31833007175473
17031010701,74208.0,3573,64.70752868737755,14.891041162227603,50.363196125908
17031010702,58289.0,5166,77.62291908633372,29.52952952952953,80.18018018018019
17031020100,69850.0,4066,79.24249877029021,7.542579075425791,64.41605839416059
17031020200,115559.0,7231,54.2386945097497,1.3006503251625814,23.461730865432717
17031020301,76327.0,4899,18.840579710144922,18.346870520783565,25.03583373148591
17031020302,81563.0,4859,28.833093229059482,10.16949152542373,37.75569842197545
17031020400,81840.0,4325,64.3699421965318,11.30638547158758,53.30990041007616
17031020500,46458.0,6796,80.16480282519129,25.366300366300365,68.77289377289377
17031020601,62015.0,5961,53.3132024828049,17.982456140350877,53.849902534113056
17031020602,87804.0,5175,67.86473429951691,10.42830540037244,43.01675977653631
17031020701,101250.0,1669,45.59616536848412,4.144385026737968,28.475935828877002
17031020702,76812.0,8476,64.93629070316187,14.475271411338964,55.16686771210294
17031020801,73151.0,5448,52.074155653450816,11.78373382624769,56.37707948243993
17031020802,70044.0,8811,75.9845647486097,13.270588235294117,67.15294117647059
17031020901,52378.0,6306,78.57595940374247,15.867992766726942,62.29656419529837
17031020902,47963.0,4205,66.2782401902497,26.342710997442452,51.8542199488491
17031030101,49132.0,3356,52.89034564958284,53.83903792784459,68.22386679000925
17031030102,59622.0,3403,55.92124595944754,40.975364504776266,59.22574157868276
17031030103,55651.0,2300,52.95652173913044,57.470210815765356,72.59395050412466
17031030104,47330.0,3401,44.86915613054984,41.70661553211889,62.89549376797699
17031030200,103758.0,5536,40.66112716763006,17.528622187129887,46.624555862613505
17031030300,67143.0,3298,67.6773802304427,43.74149659863946,64.01360544217687
17031030400,97442.0,2870,41.01045296167247,26.14475627769572,66.91285081240767
17031030500,123464.0,6439,40.0683335921727,19.629261833829858,46.01125455147302
17031030601,51136.0,3768,57.0859872611465,46.9601677148847,72.48427672955975
17031030603,54415.0,2163,53.90661118816459,55.66318926974665,88.52459016393442
17031030604,51032.0,2793,46.54493376297888,47.18172983479106,74.44120505344995
17031030701,51625.0,1525,54.29508196721311,52.9082774049217,78.63534675615213
17031030702,60133.0,2201,55.29304861426625,31.20567375886525,39.52288845905867
17031030703,68861.0,3081,48.97760467380721,50.07957559681697,72.14854111405835
17031030706,50431.0,2632,39.32370820668692,59.019812304483835,62.825860271115744
17031030800,96719.0,4404,31.562216167120805,23.835616438356162,58.31050228310502
17031030900,97375.0,2976,28.528225806451612,19.733502538071065,57.868020304568525
17031031000,117114.0,3797,37.055570186989726,25.180897250361795,59.62373371924746
17031031100,83352.0,4699,41.92381357735688,45.69199457259159,82.59837177747626
