GEOID,median_income,total_population,pct_nonwhite,pct_no_vehicle,pct_renter
53033000101,69028.0,3370,61.75074183976261,10.0,90.8092485549133
53033000102,87437.0,4548,24.714160070360602,18.109540636042404,59.67314487632509
53033000201,83833.0,4918,46.50264335095567,7.5732899022801305,49.4299674267101
53033000202,136597.0,4406,51.27099409895597,3.818301514154049,28.637261356155364
53033000300,129375.0,2819,32.74210713018802,9.00163666121113,16.44844517184943
53033000402,99167.0,5420,27.527675276752774,16.516516516516518,49.249249249249246
53033000403,70922.0,3526,32.18944980147476,20.84985835694051,60.453257790368276
53033000404,46185.0,3644,67.86498353457739,25.451180009254976,83.75751966682091
53033000500,207738.0,3361,23.802439750074377,2.4879614767255216,7.062600321027287
53033000601,94250.0,4397,40.413918580850584,16.818700114025084,56.49942987457241
53033000602,106983.0,3663,47.91154791154791,8.189081225033288,37.616511318242345
53033000700,107773.0,5217,40.521372436266056,14.465408805031446,55.188679245283026
53033000800,140042.0,2595,22.157996146435455,1.6,17.866666666666667
53033000900,134211.0,2065,37.191283292978206,4.751131221719457,18.32579185520362
53033001000,146467.0,2009,32.95171727227476,5.124835742444152,31.40604467805519
53033001100,143155.0,2550,40.156862745098046,4.032997250229148,30.430797433547202
53033001201,49098.0,4053,38.909449790278806,29.201222173723263,80.35792230467045
53033001202,88979.0,3968,56.577620967741936,9.843400447427292,73.99328859060402
53033001300,93355.0,5207,47.2825043211062,19.5211038961039,59.33441558441559
53033001400,127672.0,5145,26.122448979591837,5.024898143956542,32.095971027614304
53033001500,194286.0,2645,15.122873345935728,3.272727272727273,14.909090909090908
53033001600,229808.0,4933,24.934117170079062,4.633401221995927,21.58859470468432
53033001701,130035.0,4217,39.340763576001905,11.59488878371983,62.943681968764785
53033001702,124099.0,5847,36.719685308705316,12.569237324243716,49.97869620792501
53033001800,115168.0,4459,38.887642969275625,12.949328713728885,63.05760069294066
53033001900,139697.0,5036,34.71008737092931,4.15573053368329,45.45056867891514
53033002000,156920.0,4231,23.776884897187422,8.793456032719837,31.765507839127473
53033002100,137857.0,4844,28.364987613542525,8.88888888888889,40.48309178743961
53033002200,189344.0,6201,32.801161103047896,3.38123415046492,25.274725274725274
53033002400,168059.0,3051,20.845624385447394,6.20891161431702,29.948867786705623
53033002500,163824.0,3265,27.932618683001532,5.395136778115502,28.951367781155014
53033002600,147066.0,5372,19.992553983618766,9.878345498783455,42.9683698296837
53033002700,220329.0,5928,30.786099865047234,0.9892827699917559,24.896949711459193
53033002800,142813.0,5107,28.646955159584884,1.5119697606047877,38.303233935321295
53033002900,124815.0,4475,17.251396648044693,11.011342155009451,31.096408317580345
53033003000,188229.0,6366,19.352811812755267,1.305293691080493,34.51776649746193
53033003100,186563.0,6660,21.21621621621622,11.180811808118081,25.129151291512912
53033003201,126880.0,4589,23.992155153628236,16.176470588235293,58.107088989441934
53033003202,163836.0,4917,23.87634736628025,9.770642201834862,29.44954128440367
53033003301,128105.0,4315,24.98261877172654,12.868146805618485,65.20163117353874
53033003302,162083.0,3899,22.646832521159276,5.961426066627703,53.06838106370544
53033003400,181161.0,3576,22.762863534675613,5.948215535339398,25.54233729881036
53033003500,145089.0,4051,20.36534189089114,6.54925701706109,41.66208035222895
53033003601,117375.0,3602,21.73792337590228,14.556962025316455,52.109704641350206
53033003602,100954.0,4228,39.68779564806055,19.804878048780488,86.82926829268293
53033003800,175417.0,2478,35.63357546408395,3.659849300322928,39.504843918191604
53033003900,211406.0,3383,35.973987584983746,6.0528559249786875,21.057118499573743
53033004000,122368.0,3116,23.587933247753533,9.647887323943662,31.408450704225356
53033004101,250001.0,4106,19.483682415976624,2.857142857142857,8.644688644688644
53033004102,221211.0,4038,25.953442298167406,3.5392921415716856,35.09298140371926
53033004201,191111.0,3756,22.4174653887114,4.707379134860051,29.325699745547073
53033004202,193092.0,4815,22.492211838006227,0.6413682522715126,25.120256547300908
53033004301,116111.0,3605,40.13869625520111,18.11926605504587,50.53516819571865
53033004302,47690.0,4465,49.45128779395297,42.689371697005285,93.54081033470347
53033004401,136389.0,3720,25.456989247311824,11.605723370429253,47.13831478537361
